species_key,scientific_name,analysis_readiness,final_status,questions_asked,target_rank,target_score,matches,conflicts,known_answers,unknown_answers,analyzer_questions,failure_reason,question_path
macroglossus_sobrinus,Macroglossus sobrinus,species_ready,complete,6,1,11,5,0,5,1,5,,body_form=bat_like(known_trait)|bat_nose_shape=unknown(unknown)|bat_tail_visibility=no_tail_visible(known_trait)|primary_color=reddish_or_orange(known_trait)|ear_size_impression=medium(known_trait)|body_pattern=plain(known_trait)
kerivoula_picta,Kerivoula picta,species_ready,complete,8,1,16,6,0,6,2,4,,body_form=bat_like(known_trait)|bat_nose_shape=plain(known_trait)|bat_tail_visibility=unknown(unknown)|body_pattern=mixed(known_trait)|snout_shape_simple=unknown(unknown)|primary_color=reddish_or_orange(known_trait)|ear_size_impression=large(known_trait)|movement_seen=flying(known_trait)
pardofelis_marmorata,Pardofelis marmorata,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=cat_like(known_trait)|body_pattern=spotted(known_trait)|carnivore_tail_marking=dark_tip(known_trait)
neofelis_nebulosa,Neofelis nebulosa,species_ready,complete,3,1,8,3,0,3,0,3,,body_form=cat_like(known_trait)|body_pattern=patched(known_trait)|ear_size_impression=small(known_trait)
paguma_larvata,Paguma larvata,species_ready,complete,5,1,14,5,0,5,0,4,,body_form=long_body_short_legs(known_trait)|body_pattern=masked(known_trait)|carnivore_face_marking=pale_mask(known_trait)|movement_seen=climbing(known_trait)|tail_impression=long(known_trait)
canis_lupus,Canis lupus,species_ready,complete,4,1,7,3,0,3,1,2,,body_form=dog_like(known_trait)|carnivore_tail_marking=unknown(unknown)|primary_color=mixed(known_trait)|tail_impression=long(known_trait)
aonyx_cinereus,Aonyx cinereus,species_ready,complete,5,1,12,5,0,5,0,4,,body_form=long_body_short_legs(known_trait)|body_pattern=patched(known_trait)|carnivore_face_marking=pale_mask(known_trait)|primary_color=dark_brown(known_trait)|tail_shape=flattened(known_trait)
helarctos_malayanus,Helarctos malayanus,species_ready,complete,3,1,9,3,0,3,0,3,,body_form=bear_like(known_trait)|snout_shape_simple=short_blunt(known_trait)|tail_impression=short(known_trait)
elaphodus_cephalophus,Elaphodus cephalophus,species_ready,complete,5,1,11,5,0,5,0,5,,body_form=hoofed_like(known_trait)|body_pattern=plain(known_trait)|body_size_impression=dog_sized(known_trait)|primary_color=dark_brown(known_trait)|ear_size_impression=small(known_trait)
physeter_macrocephalus,Physeter macrocephalus,species_ready,complete,4,1,11,4,0,4,0,3,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=small(known_trait)|cetacean_color_pattern=mostly_grey(known_trait)|primary_color=grey(known_trait)
petinomys_vordermanni,Petinomys vordermanni,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=gliding_mammal_like(known_trait)|primary_color=mixed(known_trait)|body_pattern=masked(known_trait)
rhizomys_pruinosus,Rhizomys pruinosus,species_ready,complete,6,1,16,6,0,6,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|body_pattern=mixed(known_trait)|tail_impression=short(known_trait)|ear_size_impression=small(known_trait)
berylmys_berdmorei,Berylmys berdmorei,species_ready,complete,5,1,13,5,0,5,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=digging_or_burrowing(known_trait)|rodent_tail_type=furry_not_bushy(known_trait)|tail_impression=long(known_trait)|primary_color=grey(known_trait)
berylmys_bowersi,Berylmys bowersi,species_ready,complete,4,1,12,4,0,4,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=digging_or_burrowing(known_trait)|rodent_tail_type=furry_not_bushy(known_trait)|tail_impression=very_long(known_trait)
bandicota_indica,Bandicota indica,species_ready,complete,5,1,13,5,0,5,0,3,,body_form=mouse_rat_like(known_trait)|movement_seen=digging_or_burrowing(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|tail_impression=medium(known_trait)|primary_color=dark_brown(known_trait)
hylomys_suillus,Hylomys suillus,species_ready,complete,4,1,10,4,0,4,0,3,,body_form=shrew_mole_like(known_trait)|movement_seen=walking_or_running(known_trait)|tail_impression=short(known_trait)|primary_color=brown(known_trait)
euroscaptor_grandis,Euroscaptor grandis,species_ready,complete,5,1,14,5,0,5,0,3,,body_form=shrew_mole_like(known_trait)|movement_seen=digging_or_burrowing(known_trait)|mole_front_feet=broad_digging_feet(known_trait)|tail_impression=short(known_trait)|primary_color=dark_brown(known_trait)
pteropus_medius,Pteropus medius,species_ready,complete,5,1,13,5,0,5,0,3,,body_form=bat_like(known_trait)|bat_nose_shape=plain(known_trait)|bat_tail_visibility=no_tail_visible(known_trait)|body_pattern=patched(known_trait)|primary_color=mixed(known_trait)
craseonycteris_thonglongyai,Craseonycteris thonglongyai,species_ready,complete,4,1,13,4,0,4,0,3,,body_form=bat_like(known_trait)|bat_nose_shape=other(known_trait)|bat_tail_visibility=no_tail_visible(known_trait)|snout_shape_simple=pig_like(known_trait)
prionailurus_viverrinus,Prionailurus viverrinus,species_ready,complete,4,1,9,4,0,4,0,2,,body_form=cat_like(known_trait)|body_pattern=spotted(known_trait)|carnivore_tail_marking=rings(known_trait)|primary_color=brown(known_trait)
prionodon_pardicolor,Prionodon pardicolor,species_ready,complete,5,1,12,5,0,5,0,4,,body_form=cat_like(known_trait)|body_pattern=spotted(known_trait)|carnivore_tail_marking=rings(known_trait)|primary_color=yellowish_or_buff(known_trait)|snout_shape_simple=long_pointed(known_trait)
melogale_moschata,Melogale moschata,species_ready,complete,5,1,12,5,0,5,0,4,,body_form=long_body_short_legs(known_trait)|body_pattern=dorsal_stripe(known_trait)|snout_shape_simple=pig_like(known_trait)|primary_color=dark_brown(known_trait)|tail_impression=medium(known_trait)
budorcas_taxicolor,Budorcas taxicolor,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=hoofed_like(known_trait)|body_pattern=dorsal_stripe(known_trait)|primary_color=mixed(known_trait)
balaenoptera_musculus,Balaenoptera musculus,species_ready,complete,5,1,14,5,0,5,0,4,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=small(known_trait)|cetacean_color_pattern=mottled(known_trait)|cetacean_beak=no_distinct_beak(known_trait)|primary_color=grey(known_trait)
orcinus_orca,Orcinus orca,species_ready,complete,4,1,11,4,0,4,0,3,,body_form=whale_dolphin_like(known_trait)|cetacean_dorsal_fin=tall(known_trait)|cetacean_color_pattern=eye_patch(known_trait)|primary_color=black(known_trait)
belomys_pearsonii,Belomys pearsonii,species_ready,complete,3,1,7,3,0,3,0,3,,body_form=gliding_mammal_like(known_trait)|primary_color=brown(known_trait)|body_pattern=mixed(known_trait)
apodemus_agrarius,Apodemus agrarius,species_ready,complete,5,1,14,5,0,5,0,3,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|body_pattern=dorsal_stripe(known_trait)|tail_impression=medium(known_trait)
mus_pahari,Mus pahari,species_ready,complete,4,1,12,4,0,4,0,3,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=furry_not_bushy(known_trait)|tail_impression=medium(known_trait)
mus_cervicolor,Mus cervicolor,species_ready,complete,5,1,14,5,0,5,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|body_pattern=plain(known_trait)|tail_impression=medium(known_trait)
mus_caroli,Mus caroli,species_ready,complete,7,1,18,7,0,7,0,5,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|body_pattern=patched(known_trait)|leg_foot_appearance=small_rodent_like_feet(known_trait)|primary_color=brown(known_trait)|ear_size_impression=medium(known_trait)
rattus_nitidus,Rattus nitidus,species_ready,complete,5,1,13,5,0,5,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=climbing(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|tail_impression=long(known_trait)|primary_color=grey(known_trait)
vernaya_fulva,Vernaya fulva,species_ready,complete,7,1,17,7,0,7,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=climbing(known_trait)|rodent_tail_type=furry_not_bushy(known_trait)|tail_impression=very_long(known_trait)|body_pattern=plain(known_trait)|primary_color=yellowish_or_buff(known_trait)|tail_shape=thin(known_trait)
urva_urva,Urva urva,species_ready,complete,5,1,12,5,0,5,0,4,,body_form=long_body_short_legs(known_trait)|body_pattern=patched(known_trait)|carnivore_face_marking=cheek_stripes(known_trait)|tail_impression=medium(known_trait)|primary_color=grey(known_trait)
cuon_alpinus,Cuon alpinus,species_ready,complete,4,1,10,4,0,4,0,3,,body_form=dog_like(known_trait)|carnivore_tail_marking=dark_tip(known_trait)|primary_color=reddish_or_orange(known_trait)|snout_shape_simple=short_blunt(known_trait)
ailurus_fulgens,Ailurus fulgens,species_ready,complete,7,1,11,5,0,5,2,6,,body_form=unknown(unknown)|movement_seen=climbing(known_trait)|body_pattern=unknown(unknown)|tail_impression=long(known_trait)|primary_color=reddish_or_orange(known_trait)|snout_shape_simple=short_blunt(known_trait)|body_size_impression=rabbit_or_cat_sized(known_trait)
bandicota_bengalensis,Bandicota bengalensis,species_ready,complete,5,1,13,5,0,5,0,4,,body_form=mouse_rat_like(known_trait)|movement_seen=digging_or_burrowing(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|tail_impression=medium(known_trait)|primary_color=brown(known_trait)
mus_musculus,Mus musculus,species_ready,complete,7,1,20,7,0,7,0,3,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|body_pattern=plain(known_trait)|tail_impression=long(known_trait)|body_covering=fur_or_hair(known_trait)|ear_size_impression=large(known_trait)
rattus_rattus,Rattus rattus,species_ready,complete,4,1,12,4,0,4,0,3,,body_form=mouse_rat_like(known_trait)|movement_seen=climbing(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|tail_impression=very_long(known_trait)
rattus_exulans,Rattus exulans,species_ready,complete,7,1,18,7,0,7,0,5,,body_form=mouse_rat_like(known_trait)|movement_seen=walking_or_running(known_trait)|rodent_tail_type=mostly_bare_or_scaly(known_trait)|body_pattern=patched(known_trait)|leg_foot_appearance=small_rodent_like_feet(known_trait)|primary_color=brown(known_trait)|ear_size_impression=large(known_trait)
uropsilus_soricipes,Uropsilus soricipes,species_ready,complete,4,1,13,4,0,4,0,3,,body_form=shrew_mole_like(known_trait)|movement_seen=digging_or_burrowing(known_trait)|mole_front_feet=normal_small_feet(known_trait)|tail_impression=long(known_trait)
